"lon","lat","Number","Water.Depth","Latitude","Longitude","Region","Abundance","Species","Genus","Total","ER","a488","bb488","Zeu","PAR","Tvis","a488_buffer","bb488_buffer","Zeu_buffer","PAR_buffer","Tvis_buffer","Tvis_PAR"
-1064657.05472684,1844040.11142353,177,8.5,70.583,-150,"Beaufort",0,0,0,73,"0",0.196200058198883,0.0268950034533191,7.83000340126455,18.1479977509007,0.0578965947930409,0.196200058198883,0.0268950034533191,7.83000340126455,18.1479977509007,0.0578965947930409,1.05070727208891
-875864.818433608,2776367.55844568,259,9,63.661,-162.491,"Chukchi",0,0,0,6,"0",0.49500005065056,0.02981000337968,6.76000342518091,27.5479981973767,0.00907226076184444,0.49500005065056,0.02981000337968,6.76000342518091,27.5479981973767,0.00907226076184444,0.249922623113422
690244.639416202,-2124354.56335471,661,9,69.65,18,"Barents",0.329787234,0.222222222,0.2,282,"0-0.25",0.0952000607503578,0.00489500400908582,26.6250029811636,27.9039982142858,0.212186720050487,0.0952000607503578,0.00489500400908582,26.6250029811636,27.9039982142858,0.212186720050487,5.92085785738394
670292.030400598,1951062.21325183,914,9,71.17722,161.03972,"Siberian",0,0,0,1,"0",0.282500056018762,0.0221550035730615,9.96000335365534,22.4099979533348,0.0343489569372607,0.282500056018762,0.0221550035730615,9.96000335365534,22.4099979533348,0.0343489569372607,0.769760054663198
-811270.852851628,2817017.60682724,246,10,63.483889,-163.934167,"Chukchi",0.25,0.25,0.25,4,"0.25-0.5",0.20220005804731,0.0255800034865388,4.37000347860157,25.859998117201,0.0368474174328725,0.20220005804731,0.0255800034865388,4.37000347860157,25.859998117201,0.0368474174328725,0.952874145437802
-721291.794528239,2835943.59308936,378,10,63.53,-165.73,"Chukchi",0.047263682,0.375,0.333333333,804,"0.25-0.5",0.143900059520092,0.0110750038529659,20.3050031224266,25.4139980960172,0.0962445023942608,0.143900059520092,0.0110750038529659,20.3050031224266,25.4139980960172,0.0962445023942608,2.44595760059986
426205.46484722,2252432.91696854,1047,10,69.12617,169.28517,"Siberian",0.293260474,0.166666667,0.181818182,549,"0-0.25",0.225800057451124,0.0161200037255185,11.860003311187,28.9299982630182,0.0440271783696769,0.225800057451124,0.0161200037255185,11.860003311187,28.9299982630182,0.0440271783696769,1.27370619376034
588642.783477368,2155204.53141463,918,10,69.64583,164.72361,"Siberian",0,0,0,36,"0",0.278200056127389,0.0288800034031738,7.75000340305269,26.665998155484,0.0197787113148651,0.278200056127389,0.0288800034031738,7.75000340305269,26.665998155484,0.0197787113148651,0.527419079440042
713962.780067785,-2112954.54327201,672,10,69.68,18.67,"Barents",0.489795918,0.25,0.272727273,245,"0.25-0.5",NA,NA,NA,26.2879981375299,NA,0.0711711565775521,0.00400691972591288,34.250329913528,26.2879981375299,0.241525352575374,6.3492180186677
-1617033.18414619,1498437.95061158,187,10,69.91,-132.82,"Beaufort",0.043478261,0.090909091,0.125,207,"0-0.25",0.189600058365613,0.023580003537063,9.14000337198377,27.3979981902521,0.0433259200083451,0.189600058365613,0.023580003537063,9.14000337198377,27.3979981902521,0.0433259200083451,1.18704347797965
